PID,Att (Variation),SKU,ASIN (To Populate),Link to Amazon,Amazon Title,Country of Origin,# Product Reviews,Avg Star Rating,Seasonality,Category,Subcategory,Category>Subcategory,Amazon Ranking (within Category) - not available (Project participants can fill in manually),Sales Rating (internal - nonAmazon),Sale Price,Inv Qty End of Period (Jul 30 - Aug 5),Traffic Jul 30 - Aug 5,Conversion Rate Jul 30 - Aug 5,Order Qty Rate Jul 30 - Aug 5,Quantity Aug 19 - Aug 26,Traffic Aug 19 - Aug 26,Conversion Rate Aug 19 - Aug 26,Order Qty Rate,Quantity Sep 2 - Sep 9,Traffic Sep 2 - Sep 9,Conversion Rate Sep 2 - Sep 9,Order Qty Rate,Quantity Sep 9 - Sep 16,Traffic Sep 9 - Sep 16,Conversion Rate Sep 9 - Sep 16,Order Qty Rate,Quantity Sep 16 - Sep 23,Traffic Sep 16 - Sep 23,Conversion Rate Sep 16 - Sep 23,Order Qty Rate,Quantity Sep 23 - Oct 2,Traffic Sep 23 - Oct 2,Conversion Rate Sep 23 - Oct 2,Order Qty Rate,Quantity Oct 2 - Oct 9,Traffic Sep 23 - Oct 2 - Oct 9,Conversion Rate Sep 23 - Oct 2 - Oct 9,Order Qty Rate,Keywords Provided to Amazon
433286,,433286,B0CDCHXHDR,https://www.amazon.com/dp/B0CDCHXHDR,NOVICA Handmade Ceramic Figurine Bull Painted by Uzbekistan Multicolor Yellow Sculpture 'Funky Bull',Silk Road,No ASIN,No ASIN,,Sculpture,Sculpture,Sculpture>Sculpture,,A+,$80.99,1,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
433290,,433290,B0CDCJS7MR,https://www.amazon.com/dp/B0CDCJS7MR,NOVICA Handmade Decorative Ceramic Bell Womanshaped Painted by Multicolor Brown Uzbekistan Accessories Home Accents Cross Floral 'Lady in Purple',Silk Road,No ASIN,No ASIN,,Decor Accessories,Home Accents,Decor Accessories>Home Accents,,A+,$62.99,1,,,,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
432393,,432393,B0CDCK514T,https://www.amazon.com/dp/B0CDCK514T,NOVICA Handmade Ceramic Jewelry Stand Tree of Knowledge Themed Brown Multicolor Uzbekistan Display Leaf Animal Snake 'Tree of Knowledge',Silk Road,No ASIN,No ASIN,,Jewelry Boxes,Display,Jewelry Boxes>Display,,A+,$179.99,1,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
435277,,435277,B0CDCLSP7L,https://www.amazon.com/dp/B0CDCLSP7L,NOVICA Handmade Handpainted Ceramic Ornament Green Glazed Floral Made by Uzbekistan Holiday Decor 'Winter Flower',Silk Road,No ASIN,No ASIN,Winter (Q4),Holiday Decor & Ornaments,Ornaments,Holiday Decor & Ornaments>Ornaments,,A+,$26.99,24,,,,23,0,0,0,23,0,0,0,23,0,0,0,23,0,0,0,23,0,0,0,23,0,0,0,
426605,,426605,B0CFRK7P7R,https://www.amazon.com/dp/B0CFRK7P7R,NOVICA Handmade Multigemstone Sculpture Seven Chakras Pyramid Peru Yoga 'Chakra Energy',Andes,No ASIN,No ASIN,,Sculpture,Sculpture,Sculpture>Sculpture,,A+,$144.99,9,,,,8,8,12.5,1,8,0,0,0,8,0,0,0,8,3,0,0,8,0,0,0,8,0,0,0,
118896,76440,118896a76440,B01N6M7D3I,https://www.amazon.com/dp/B01N6M7D3I,"NOVICA  .925 Sterling Silver Chain Bracelet with Charm, 7.25 inches, 'Sound of a Bell'",Bali and Java,30,3.9,,Jewelry,Bracelets,Jewelry>Bracelets,,A+,$76.49,3,,,,1,21,9.52,2,2,24,4.17,1,2,0,0,0,2,0,0,0,9,0,0,0,1,30,3.33,1,
118896,76441,118896a76441,B01N6M7D3I,https://www.amazon.com/dp/B01N6M7D3I,"NOVICA  .925 Sterling Silver Chain Bracelet with Charm, 8 inches, 'Sound of a Bell'",Bali and Java,30,3.9,,Jewelry,Bracelets,Jewelry>Bracelets,,A+,$76.49,4,22,4.6,1,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,
409697,,409697,B0CFRKPBZT,https://www.amazon.com/dp/B0CFRKPBZT,NOVICA  Brass Stone  Animal Themed   Sculpture  From Brazil  'Resting Butterfly',Brazil,No ASIN,No ASIN,,Sculpture,Sculpture,Sculpture>Sculpture,,A+,$69.99,16,,,,12,2,100,2,10,1,0,0,10,0,0,0,20,0,0,0,20,1,0,0,19,0,0,0,
429685,,429685,B0CFRGTN1S,https://www.amazon.com/dp/B0CFRGTN1S,NOVICA Handmade Quartz Sculpture Blue and White Butterfly with Brass Accents Stonebrass Brazil Animal Themed Gemstone Inspirational Bug 'Spiritual Flutter',Brazil,No ASIN,No ASIN,,Sculpture,Sculpture,Sculpture>Sculpture,,A+,$52.95,18,,,,15,2,50,1,14,0,0,0,14,1,0,0,14,3,0,0,14,1,0,0,13,0,0,0,
408911,,408911,B0CFRLNX3P,https://www.amazon.com/dp/B0CFRLNX3P,NOVICA  Paper  Cultural   Books And Music  From Mexico  'Mexican Maria Dolls',Mexico,No ASIN,No ASIN,Not Seasonal,Decor Accessories,Books and Music,Decor Accessories>Books and Music,,A+,$37.99,6,,,,6,0,0,0,6,0,0,0,6,1,0,0,6,1,0,0,6,0,0,0,6,0,0,0,
425956,,425956,B0CFRHVF2N,https://www.amazon.com/dp/B0CFRHVF2N,NOVICA Handmade Alabaster Magnet Angel Crafted in Peru Stone Decor Accessories Magnets Religious 'Humanga Guardian',Andes,No ASIN,No ASIN,Not Seasonal,Decor Accessories,Magnets,Decor Accessories>Magnets,,A+,$13.49,6,,,,6,1,0,0,6,0,0,0,6,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,
401390,,401390,B0CFRKD2MQ,https://www.amazon.com/dp/B0CFRKD2MQ,NOVICA  Stone  Gemstone   Sculpture  From Peru  'Energy',Andes,No ASIN,No ASIN,,Sculpture,Sculpture,Sculpture>Sculpture,,A+,$34.99,3,,,,11,2,0,0,11,1,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,
389188,,389188,B0CG1S4YJM,https://www.amazon.com/dp/B0CG1S4YJM,NOVICA  Stone  Hacienda Mixing Bowls   Kitchen Accessories  From Mexico  'Grand Tradition',Mexico,No ASIN,No ASIN,,Tableware,Kitchen Accessories,Tableware>Kitchen Accessories,,A+,$89.99,5,,,,5,0,0,0,5,1,0,0,5,3,0,0,5,0,0,0,5,0,0,0,2,5,20,1,
390345,,390345,B0CCNVC2B9,https://www.amazon.com/dp/B0CCNVC2B9,NOVICA  Tin  Animal Themed   Wind Instruments  From Brazil  'Native Song',Brazil,No ASIN,No ASIN,,Musical Instruments,Wind Instruments,Musical Instruments>Wind Instruments,,A+,$39.99,20,,,,20,0,0,0,19,0,0,0,19,0,0,0,19,0,0,0,18,0,0,0,18,0,0,0,
384704,,384704,,https://www.amazon.com/dp/,NOVICA  Wood  Appetizer Dishes   Serveware  From Thailand  'Kitchen Fun',Thailand,No ASIN,No ASIN,,Tableware,Serveware,Tableware>Serveware,,A+,$29.99,4,,,,4,0,0,0,14,0,0,0,14,0,0,0,14,0,0,0,9,0,0,0,0,0,0,0,
384452,,384452,,https://www.amazon.com/dp/,NOVICA  Wood  East Meets West   Flatware  From Thailand  'Miraculous',Thailand,No ASIN,No ASIN,,Tableware,Flatware,Tableware>Flatware,,A+,$25.99,7,,,,4,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,
403979,,403979,,https://www.amazon.com/dp/,NOVICA  Wood  Platters   Serveware  From Guatemala  'Natural Conclusion',Central America,No ASIN,No ASIN,,Tableware,Serveware,Tableware>Serveware,,A+,$25.99,4,,,,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,
403978,,403978,,https://www.amazon.com/dp/,NOVICA  Wood  Platters   Serveware  From Guatemala  'Natural Phenomenon',Central America,No ASIN,No ASIN,,Tableware,Serveware,Tableware>Serveware,,A+,$29.99,5,,,,4,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,
398183,206546,398183a206546,B0CG5VKMJD,https://www.amazon.com/dp/B0CG5VKMJD,NOVICA .925 Sterling Silver   Ring  'Sea Sparkles',India,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$34.19,4,,,,2,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,
398183,206547,398183a206547,B0CG5WDXRP,https://www.amazon.com/dp/B0CG5WDXRP,NOVICA .925 Sterling Silver   Ring  'Sea Sparkles',India,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$34.19,3,,,,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,
398183,206550,398183a206550,B0C9KH4WV7,https://www.amazon.com/dp/B0C9KH4WV7,NOVICA .925 Sterling Silver   Ring  'Sea Sparkles',India,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$34.19,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,
398183,206551,398183a206551,B0CG5VHCB2,https://www.amazon.com/dp/B0CG5VHCB2,NOVICA .925 Sterling Silver   Ring  'Sea Sparkles',India,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$34.19,4,,,,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
398183,206552,398183a206552,B0CG5VSH5T,https://www.amazon.com/dp/B0CG5VSH5T,NOVICA .925 Sterling Silver   Ring  'Sea Sparkles',India,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$34.19,6,,,,5,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,
399819,207717,399819a207717,B0CGLMSXZF,https://www.amazon.com/dp/B0CGLMSXZF,NOVICA .925 Sterling Silver   Ring  'Traditional Leaves',Bali and Java,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$49.29,2,,,,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,
399819,207718,399819a207718,B0CGLMHZ43,https://www.amazon.com/dp/B0CGLMHZ43,NOVICA .925 Sterling Silver   Ring  'Traditional Leaves',Bali and Java,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$49.29,3,,,,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,
399819,207719,399819a207719,B0CGLNFWTM,https://www.amazon.com/dp/B0CGLNFWTM,NOVICA .925 Sterling Silver   Ring  'Traditional Leaves',Bali and Java,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$49.29,3,,,,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,
399819,207720,399819a207720,B0C6MMSZHR,https://www.amazon.com/dp/B0C6MMSZHR,NOVICA .925 Sterling Silver   Ring  'Traditional Leaves',Bali and Java,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$49.29,2,,,,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,
399819,207721,399819a207721,B0CGF1GX7C,https://www.amazon.com/dp/B0CGF1GX7C,NOVICA .925 Sterling Silver   Ring  'Traditional Leaves',Bali and Java,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$49.29,2,,,,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,
399819,207722,399819a207722,B0CGDZYZRL,https://www.amazon.com/dp/B0CGDZYZRL,NOVICA .925 Sterling Silver   Ring  'Traditional Leaves',Bali and Java,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$49.29,1,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
432086,,432086,B0CBN2364M,https://www.amazon.com/dp/B0CBN2364M,NOVICA Handmade Blue Topaz Larimar Pendant Necklace India .925 Sterling Silver Geometric Gemstone Peace 'Serene Alliance',India,No ASIN,No ASIN,,Jewelry,Necklaces,Jewelry>Necklaces,,A+,$69.99,17,,,,17,0,0,0,17,0,0,0,17,0,0,0,17,0,0,0,17,0,0,0,17,0,0,0,
263460,116403,263460a116403,B075KZCQG2,https://www.amazon.com/dp/B075KZCQG2,"NOVICA .925 Sterling Silver 18k Yellow Gold-Plated Accent Ring, 'Stars Over Bali'",Bali and Java,5,3.7,,Jewelry,Rings,Jewelry>Rings,,A+,$57.79,8,,,,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,
263460,116405,263460a116405,B075L4G3R1,https://www.amazon.com/dp/B075L4G3R1,"NOVICA .925 Sterling Silver 18k Yellow Gold-Plated Accent Ring, 'Stars Over Bali'",Bali and Java,5,3.7,,Jewelry,Rings,Jewelry>Rings,,A+,$57.79,18,,,,19,0,0,0,18,0,0,0,18,0,0,0,18,0,0,0,18,0,0,0,18,0,0,0,
263460,116408,263460a116408,B075KTYTN6,https://www.amazon.com/dp/B075KTYTN6,"NOVICA .925 Sterling Silver 18k Yellow Gold-Plated Accent Ring, 'Stars Over Bali'",Bali and Java,5,3.7,,Jewelry,Rings,Jewelry>Rings,,A+,$57.79,6,,,,6,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,
263460,116407,263460a116407,B075L3R1G3,https://www.amazon.com/dp/B075L3R1G3,"NOVICA .925 Sterling Silver 18k Yellow Gold-Plated Accent Ring, 'Stars Over Bali'",Bali and Java,5,3.7,,Jewelry,Rings,Jewelry>Rings,,A+,$57.79,7,,,,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,
263460,135586,263460a135586,B077S6HZC9,https://www.amazon.com/dp/B077S6HZC9,"NOVICA .925 Sterling Silver 18k Yellow Gold-Plated Accent Ring, 'Stars Over Bali'",Bali and Java,5,3.7,,Jewelry,Rings,Jewelry>Rings,,A+,$57.79,6,,,,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,
263460,116404,263460a116404,B075L6JFZ6,https://www.amazon.com/dp/B075L6JFZ6,"NOVICA .925 Sterling Silver 18k Yellow Gold-Plated Accent Ring, 'Stars Over Bali'",Bali and Java,5,3.7,,Jewelry,Rings,Jewelry>Rings,,A+,$57.79,2,,,,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,
263460,116406,263460a116406,B075L3466Z,https://www.amazon.com/dp/B075L3466Z,"NOVICA .925 Sterling Silver 18k Yellow Gold-Plated Accent Ring, 'Stars Over Bali'",Bali and Java,5,3.7,,Jewelry,Rings,Jewelry>Rings,,A+,$57.79,8,,,,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,
290928,134583,290928a134583,B06Y3Y6VQN,https://www.amazon.com/dp/B06Y3Y6VQN,NOVICA .925 Sterling Silver Band Ring 'Animal Trails',Bali and Java,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$80.74,1,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
290928,134588,290928a134588,B06Y43JX37,https://www.amazon.com/dp/B06Y43JX37,NOVICA .925 Sterling Silver Band Ring 'Animal Trails',Bali and Java,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$80.74,1,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
290928,134585,290928a134585,B081FHSWWT,https://www.amazon.com/dp/B081FHSWWT,NOVICA .925 Sterling Silver Band Ring 'Animal Trails',Bali and Java,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$80.74,1,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
290928,134586,290928a134586,B081FKQW69,https://www.amazon.com/dp/B081FKQW69,NOVICA .925 Sterling Silver Band Ring 'Animal Trails',Bali and Java,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$80.74,1,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
290928,134584,290928a134584,B081FLNPG4,https://www.amazon.com/dp/B081FLNPG4,NOVICA .925 Sterling Silver Band Ring 'Animal Trails',Bali and Java,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$80.74,1,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
290928,134587,290928a134587,B081FLV3YP,https://www.amazon.com/dp/B081FLV3YP,NOVICA .925 Sterling Silver Band Ring 'Animal Trails',Bali and Java,0,0,,Jewelry,Rings,Jewelry>Rings,,A+,$80.74,1,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
290929,134590,290929a134590,B07527W4JF,https://www.amazon.com/dp/B07527W4JF,"NOVICA .925 Sterling Silver Band Ring with Dog Paw Prints, 'Paw Prints'",Bali and Java,157,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$31.49,8,,,,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,12,0,0,0,12,0,0,0,
290929,134591,290929a134591,B075235X4Y,https://www.amazon.com/dp/B075235X4Y,"NOVICA .925 Sterling Silver Band Ring with Dog Paw Prints, 'Paw Prints'",Bali and Java,157,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$31.49,7,,,,3,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,
290929,134593,290929a134593,B0752B1NQR,https://www.amazon.com/dp/B0752B1NQR,"NOVICA .925 Sterling Silver Band Ring with Dog Paw Prints, 'Paw Prints'",Bali and Java,157,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$31.49,12,,,,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,
290929,134592,290929a134592,B0751YC27Y,https://www.amazon.com/dp/B0751YC27Y,"NOVICA .925 Sterling Silver Band Ring with Dog Paw Prints, 'Paw Prints'",Bali and Java,157,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$31.49,11,,,,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,
290929,134595,290929a134595,B075264QX5,https://www.amazon.com/dp/B075264QX5,"NOVICA .925 Sterling Silver Band Ring with Dog Paw Prints, 'Paw Prints'",Bali and Java,157,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$31.49,2,,,,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,7,0,0,0,3,1,100,1,
290929,134596,290929a134596,B07523NRCK,https://www.amazon.com/dp/B07523NRCK,"NOVICA .925 Sterling Silver Band Ring with Dog Paw Prints, 'Paw Prints'",Bali and Java,157,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$31.49,8,,,,7,0,0,0,7,0,0,0,7,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,
290929,134594,290929a134594,B07525YRPS,https://www.amazon.com/dp/B07525YRPS,"NOVICA .925 Sterling Silver Band Ring with Dog Paw Prints, 'Paw Prints'",Bali and Java,157,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$31.49,7,,,,5,0,0,0,5,0,0,0,5,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,
292431,135491,292431a135491,B07Z45D6VJ,https://www.amazon.com/dp/B07Z45D6VJ,"NOVICA .925 Sterling Silver Band Ring, 'Memory of Bali'",Bali and Java,78,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$40.79,11,,,,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,9,0,0,0,9,0,0,0,
292431,135493,292431a135493,B07WT65FH1,https://www.amazon.com/dp/B07WT65FH1,"NOVICA .925 Sterling Silver Band Ring, 'Memory of Bali'",Bali and Java,78,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$40.79,7,,,,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,4,5,20,1,4,0,0,0,
292431,177575,292431a177575,B07WT63M2D,https://www.amazon.com/dp/B07WT63M2D,"NOVICA .925 Sterling Silver Band Ring, 'Memory of Bali'",Bali and Java,78,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$40.79,6,,,,3,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,6,9,11.11,1,1,0,0,0,
292431,177574,292431a177574,B07WW78W3Z,https://www.amazon.com/dp/B07WW78W3Z,"NOVICA .925 Sterling Silver Band Ring, 'Memory of Bali'",Bali and Java,78,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$40.79,2,,,,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,5,0,0,0,4,4,25,1,
292431,177579,292431a177579,B07Z45KH33,https://www.amazon.com/dp/B07Z45KH33,"NOVICA .925 Sterling Silver Band Ring, 'Memory of Bali'",Bali and Java,78,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$40.79,3,,,,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,8,0,0,0,7,2,150,3,
292431,177578,292431a177578,B07Z44G1CK,https://www.amazon.com/dp/B07Z44G1CK,"NOVICA .925 Sterling Silver Band Ring, 'Memory of Bali'",Bali and Java,78,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$40.79,8,,,,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,7,3,33.33,1,
292431,135490,292431a135490,B07WW4Z2Z7,https://www.amazon.com/dp/B07WW4Z2Z7,"NOVICA .925 Sterling Silver Band Ring, 'Memory of Bali'",Bali and Java,78,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$40.79,2,76,1.3,,6,0,0,0,4,97,1.03,1,4,31,3.23,1,4,0,0,0,4,0,0,0,3,23,4.35,1,
292431,168394,292431a168394,B07Z43T62B,https://www.amazon.com/dp/B07Z43T62B,"NOVICA .925 Sterling Silver Band Ring, 'Memory of Bali'",Bali and Java,78,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$40.79,4,,,,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,3,5,20,1,1,5,40,2,
292431,135492,292431a135492,B07WP6DFJV,https://www.amazon.com/dp/B07WP6DFJV,"NOVICA .925 Sterling Silver Band Ring, 'Memory of Bali'",Bali and Java,78,4.6,,Jewelry,Rings,Jewelry>Rings,,A+,$40.79,2,,,,1,13,15.38,2,3,12,8.33,1,3,8,12.5,1,9,8,37.5,3,6,0,0,0,6,0,0,0,
